name,id,Country,Region
Consumer Price Index: OECD Groups: All Items Non-Food Non-Energy:Total for Australia,CPGRLE01AUQ657N,Australia,APAC
Consumer Price Index: OECD Groups: All Items Non-Food Non-Energy:Total for Canada,CPGRLE01CAQ657N,Canada,Americas
Consumer Price Index: OECD Groups: All Items Non-Food Non-Energy:Total for Switzerland,CPGRLE01CHQ657N,Switzerland,Europe
Consumer Price Index: OECD Groups: All Items Non-Food Non-Energy:Total for Germany,CPGRLE01DEQ657N,Germany,Europe
Consumer Price Index: OECD Groups: All Items Non-Food Non-Energy:Total for Spain,CPGRLE01ESQ657N,Spain,Europe
Consumer Price Index: OECD Groups: All Items Non-Food Non-Energy:Total for Finland,CPGRLE01FIQ657N,Finland,Europe
Consumer Price Index: OECD Groups: All Items Non-Food and Non-Energy: Total for France,CPGRLE01FRQ657N,France,Europe
Consumer Price Index: OECD Groups: All Items Non-Food and Non-Energy: Total for the United Kingdom,CPGRLE01GBQ657N,United Kingdom,Europe
Consumer Price Index: OECD Groups: All Items Non-Food and Non-Energy: Total for Greece,CPGRLE01GRQ657N,Greece,Europe
Consumer Price Index: OECD Groups: All Items Non-Food and Non-Energy: Total for Israel,CPGRLE01ILQ657N,Israel,APAC
Consumer Price Index: OECD Groups: All Items Non-Food and Non-Energy: Total for Italy,CPGRLE01ITQ657N,Italy,Europe
Consumer Price Index: OECD Groups: All Items Non-Food and Non-Energy: Total for Japan,CPGRLE01JPQ657N,Japan,APAC
Consumer Price Index: OECD Groups: All Items Non-Food and Non-Energy: Total for the Republic of Korea,CPGRLE01KRQ657N,Republic of Korea,APAC
Consumer Price Index: OECD Groups: All Items Non-Food and Non-Energy: Total for Mexico,CPGRLE01MXQ657N,Mexico,Americas
Consumer Price Index: OECD Groups: All Items Non-Food and Non-Energy: Total for the Netherlands,CPGRLE01NLQ657N,Netherlands,Europe
Consumer Price Index: OECD Groups: All Items Non-Food and Non-Energy: Total for New Zealand,CPGRLE01NZQ657N,New Zealand,APAC
Consumer Price Index: OECD Groups: All Items Non-Food and Non-Energy: Total for Poland,CPGRLE01PLQ657N,Poland,Europe
Consumer Price Index: OECD Groups: All Items Non-Food and Non-Energy: Total for Turkey,CPGRLE01TRQ657N,Turkey,Europe
Consumer Price Index: OECD Groups: All Items Non-Food and Non-Energy: Total for the United States,CPGRLE01USQ657N,United States,Americas
